calibration_sys,calibration_gyro,calibration_accel,calibration_mag,orientation_x,orientation_y,orientation_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,acceleration_x,acceleration_y,acceleration_z,gravity_x,gravity_y,gravity_z,magnetometer_x,magnetometer_y,magnetometer_z,quaternion_w,quaternion_x,quaternion_y,quaternion_z,pressure,temperature,altitude,timestamp,stage,velocity_x,velocity_y,velocity_z
3,3,3,3,0.0,-6.0,-144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0244,-9.7466,0.0,1.0244,-9.7466,-14.9579,-16.2462,-38.2757,0.308593,-0.016173,0.049774,-0.949753,98760.06049675547,7.660000000000025,283.54,0.0,Calibrating,0.0,0.0,0.0
3,3,3,3,0.0,-6.0,-144.0,0.0,0.0,0.0,0.0,-0.0,12.0314,0.0,1.0244,2.2848,0.0,1.0244,-9.7466,-14.9579,-16.2462,-38.2757,0.308593,-0.016173,0.049774,-0.949753,98639.96755613535,7.660000000000025,283.54,0.0286,Ready For Launch,0.0,0.0,0.0
3,3,3,3,0.0,-6.0,-144.0,0.0,0.0,0.0,-0.0,-0.0,38.7088,-0.0,1.0244,28.9622,0.0,1.0244,-9.7466,-14.9579,-16.2462,-38.2757,0.308593,-0.016173,0.049774,-0.949753,98808.88258941678,7.660000000000025,283.57,0.0571,Launch,0.0,0.0,1.1032007999999998
3,3,3,3,0.0,-6.0,-144.0,0.0,0.0,0.0,0.0,0.0,38.9334,0.0,1.0244,29.1868,0.0,1.0244,-9.7466,-14.9579,-16.2462,-38.2757,0.308593,-0.016173,0.049774,-0.949753,98668.12151842332,7.660000000000025,283.62,0.0857,Accelerated Flight,0.0,0.0,2.2166960399999995
3,3,3,3,0.0,-6.0,-144.0,0.0,0.0,0.0,-0.0,-0.0,47.8053,-0.0,1.0244,38.0587,0.0,1.0244,-9.7466,-14.9579,-16.2462,-38.2757,0.308593,-0.016173,0.049774,-0.949753,98751.17933103583,7.660000000000025,283.72,0.1143,Accelerated Flight,0.0,0.0,3.58392762
3,3,3,3,0.0,-6.0,-144.0,0.0,0.0,0.0,-0.0,-0.0,51.3953,-0.0,1.0244,41.6487,0.0,1.0244,-9.7466,-14.9579,-16.2462,-38.2757,0.308593,-0.016173,0.049774,-0.949753,98696.80049000237,7.660000000000025,283.85,0.1429,Accelerated Flight,0.0,0.0,5.0538332
3,3,3,3,0.0,-6.0,-144.0,0.0,0.0,0.0,0.0,0.0,53.5455,0.0,1.0244,43.7989,0.0,1.0244,-9.7466,-14.9579,-16.2462,-38.2757,0.308593,-0.016173,0.049774,-0.949753,98618.59075694051,7.660000000000025,284.02,0.1714,Accelerated Flight,0.0,0.0,6.57987995
3,3,3,3,0.0,-6.0,-144.0,0.0,0.0,0.0,-0.0,-0.0,54.0049,-0.0,1.0244,44.2583,0.0,1.0244,-9.7466,-14.9579,-16.2462,-38.2757,0.308593,-0.016173,0.049774,-0.949753,98767.6441813857,7.670000000000016,284.24,0.2,Accelerated Flight,0.0,0.0,8.124420090000001
3,3,3,3,0.0,-6.0,-144.0,0.0,0.0,0.0,0.0,0.0,54.3137,0.0,1.0244,44.5671,0.0,1.0244,-9.7466,-14.9579,-16.2462,-38.2757,0.308593,-0.016173,0.049774,-0.949753,98669.32544680903,7.670000000000016,284.5,0.2286,Accelerated Flight,0.0,0.0,9.67779191
3,3,3,3,0.0,-6.0,-144.0,0.0,0.0,0.0,0.0,0.0,54.2662,0.0,1.0244,44.5197,0.0,1.0244,-9.7466,-14.9579,-16.2462,-38.2756,0.308593,-0.016173,0.049774,-0.949753,98769.67374900909,7.670000000000016,284.81,0.2571,Accelerated Flight,0.0,0.0,11.224378609999999
3,3,3,3,0.0,-6.0,-144.0,0.0,0.0,0.0,0.0,0.0,54.2017,0.0,1.0244,44.4552,0.0,1.0244,-9.7466,-14.9579,-16.2462,-38.2756,0.308593,-0.016173,0.049774,-0.949753,98681.29215436587,7.670000000000016,285.16,0.2857,Accelerated Flight,0.0,0.0,12.77454723
3,3,3,3,0.0,-6.0,-144.0,0.0,0.0,0.0,-0.0,0.0,54.1361,-0.0,1.0244,44.3895,0.0,1.0244,-9.7466,-14.9579,-16.2462,-38.2756,0.308593,-0.016173,0.049774,-0.949753,98681.16430308866,7.680000000000007,285.56,0.3143,Accelerated Flight,0.0,0.0,14.32283969
3,3,3,3,0.0,-6.0,-144.0,0.0,0.0,0.0,-0.0,0.0,54.0859,-0.0,1.0244,44.3393,0.0,1.0244,-9.7466,-14.9579,-16.2462,-38.2756,0.308593,-0.016173,0.049774,-0.949753,98543.2172422786,7.680000000000007,286.0,0.3429,Accelerated Flight,0.0,0.0,15.869696429999998
3,3,3,3,0.0,-6.0,-144.0,0.0,0.0,0.0,0.0,-0.0,54.2827,0.0,1.0244,44.5361,0.0,1.0244,-9.7466,-14.9579,-16.2462,-38.2756,0.308593,-0.016173,0.049774,-0.949753,98729.75280373903,7.680000000000007,286.48,0.3714,Accelerated Flight,0.0,0.0,17.41675338
3,3,3,3,0.0,-6.0,-144.0,0.0,0.0,0.0,0.0,0.0,54.562,0.0,1.0244,44.8154,0.0,1.0244,-9.7466,-14.9579,-16.2462,-38.2756,0.308593,-0.016173,0.049774,-0.949753,98614.08272681964,7.689999999999998,287.0,0.4,Accelerated Flight,0.0,0.0,18.97722658
3,3,3,3,0.0,-6.0,-144.0,0.0,0.0,0.0,-0.0,-0.0,54.8412,-0.0,1.0244,45.0946,0.0,1.0244,-9.7466,-14.9579,-16.2462,-38.2756,0.308593,-0.016173,0.049774,-0.949753,98755.4939626369,7.689999999999998,287.58,0.4286,Accelerated Flight,0.0,0.0,20.545684899999998
3,3,3,3,0.0,-6.0,-144.0,0.0,0.0,0.0,0.0,-0.0,55.1205,0.0,1.0244,45.3739,0.0,1.0244,-9.7466,-14.9579,-16.2462,-38.2756,0.308593,-0.016173,0.049774,-0.949753,98728.62420608947,7.689999999999998,288.19,0.4571,Accelerated Flight,0.0,0.0,22.11661915
3,3,3,3,0.0,-6.0,-144.0,0.0,0.0,0.0,0.0,-0.0,55.3997,0.0,1.0244,45.6531,0.0,1.0244,-9.7466,-14.9579,-16.2462,-38.2756,0.308593,-0.016173,0.049774,-0.949753,98705.39883401872,7.7000000000000455,288.85,0.4857,Accelerated Flight,0.0,0.0,23.70105057
3,3,3,3,0.0,-6.0,-144.0,0.0,0.0,0.0,-0.0,0.0,55.679,-0.0,1.0244,45.9324,0.0,1.0244,-9.7466,-14.9579,-16.2462,-38.2756,0.308593,-0.016173,0.049774,-0.949753,98609.11331990949,7.710000000000036,289.56,0.5143,Accelerated Flight,0.0,0.0,25.293469969999997
3,3,3,3,0.0,-6.0,-144.0,0.0,0.0,0.0,0.0,-0.0,55.9537,0.0,1.0244,46.2071,0.0,1.0244,-9.7466,-14.9579,-16.2462,-38.2755,0.308593,-0.016173,0.049774,-0.949753,98633.67184598226,7.710000000000036,290.31,0.5429,Accelerated Flight,0.0,0.0,26.89374579
3,3,3,3,0.0,-6.0,-144.0,0.0,0.0,0.0,-0.0,-0.0,56.092,-0.0,1.0244,46.3454,0.0,1.0244,-9.7466,-14.9579,-16.2462,-38.2755,0.308593,-0.016173,0.049774,-0.949753,98490.29509890528,7.720000000000027,291.11,0.5714,Accelerated Flight,0.0,0.0,28.49236779
3,3,3,3,0.0,-6.0,-144.0,0.0,0.0,0.0,-0.0,-0.0,56.1646,-0.0,1.0244,46.418,0.0,1.0244,-9.7466,-14.9579,-16.2462,-38.2755,0.308593,-0.016173,0.049774,-0.949753,98520.70356735104,7.720000000000027,291.95,0.6,Accelerated Flight,0.0,0.0,30.098675349999997
3,3,3,3,0.0,-6.0,-144.0,0.0,0.0,0.0,-0.0,-0.0,56.2365,-0.0,1.0244,46.4899,0.0,1.0244,-9.7466,-14.9579,-16.2461,-38.2755,0.308593,-0.016173,0.049774,-0.949753,98649.40920846089,7.730000000000018,292.84,0.6286,Accelerated Flight,0.0,0.0,31.70703925
3,3,3,3,-0.008,-5.9975,-143.992,0.0051,-0.0017,0.0,0.0689,0.8116,56.3064,0.0687,1.8356,46.5598,-0.0001,1.024,-9.7466,-14.9584,-16.2478,-38.2746,0.308594,-0.016173,0.049752,-0.949754,98676.38606536531,7.740000000000009,293.77,0.6571,Accelerated Flight,0.001963649999999998,0.023130599999999977,33.31177165
3,3,3,3,-0.058,-5.9821,-143.9416,0.0138,-0.0047,0.0,0.1217,1.3815,56.3756,0.1206,2.4028,46.6287,-0.001,1.0214,-9.7469,-14.9619,-16.2581,-38.2688,0.308599,-0.016175,0.049609,-0.94976,98618.23010709288,7.740000000000009,294.75,0.6857,Accelerated Flight,0.005444269999999993,0.06264149999999992,34.924113809999994
3,3,3,3,-0.1563,-5.9521,-143.8428,0.0228,-0.0078,0.0,0.1278,1.3964,56.445,0.125,2.4126,46.6975,-0.0028,1.0163,-9.7474,-14.9687,-16.2781,-38.2576,0.308607,-0.016179,0.049333,-0.949772,98535.98750747561,7.75,295.77,0.7143,Accelerated Flight,0.009099350000000003,0.10257854000000002,36.53844081
3,3,3,3,-0.3056,-5.9074,-143.6927,0.0319,-0.011,0.0,0.1327,1.4074,56.5134,0.1274,2.416,46.7652,-0.0054,1.0086,-9.7482,-14.979,-16.308,-38.2408,0.30862,-0.016185,0.048921,-0.949789,98590.7367057685,7.760000000000048,296.84,0.7429,Accelerated Flight,0.012894569999999998,0.14283017999999997,38.15472404999999
3,3,3,3,-0.5096,-5.8477,-143.4877,0.0412,-0.0142,-0.0,0.1363,1.4142,56.5657,0.1274,2.4126,46.8165,-0.0089,0.9985,-9.7492,-14.9927,-16.3479,-38.2184,0.308637,-0.016195,0.04837,-0.949811,98399.54054858445,7.770000000000039,297.96,0.7714,Accelerated Flight,0.016779119999999995,0.18313487999999994,39.76684649999999
